danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.492,0.828,0,-2.14,1,0.0662,0.00253,0.0,0.342,0.567,81.409,audio_features,10JBIfvldDR2TnT5sphGc2,spotify:track:10JBIfvldDR2TnT5sphGc2,https://api.spotify.com/v1/tracks/10JBIfvldDR2TnT5sphGc2,https://api.spotify.com/v1/audio-analysis/10JBIfvldDR2TnT5sphGc2,232213,4
0.478,0.201,7,-16.768,1,0.0332,0.919,0.0,0.0854,0.857,136.471,audio_features,2L9QLAhrvtP4EYg1lY0Tnw,spotify:track:2L9QLAhrvtP4EYg1lY0Tnw,https://api.spotify.com/v1/tracks/2L9QLAhrvtP4EYg1lY0Tnw,https://api.spotify.com/v1/audio-analysis/2L9QLAhrvtP4EYg1lY0Tnw,135760,4
0.575,0.744,1,-5.466,1,0.0603,0.0687,0.0,0.0723,0.701,183.79,audio_features,32h59T8q2SonUPJ006lyXt,spotify:track:32h59T8q2SonUPJ006lyXt,https://api.spotify.com/v1/tracks/32h59T8q2SonUPJ006lyXt,https://api.spotify.com/v1/audio-analysis/32h59T8q2SonUPJ006lyXt,241507,4
0.478,0.542,5,-10.135,1,0.0367,0.244,0.0,0.0839,0.821,167.486,audio_features,2qoZNAP3JLyIOtbsPtBjvV,spotify:track:2qoZNAP3JLyIOtbsPtBjvV,https://api.spotify.com/v1/tracks/2qoZNAP3JLyIOtbsPtBjvV,https://api.spotify.com/v1/audio-analysis/2qoZNAP3JLyIOtbsPtBjvV,147227,4
0.553,0.476,0,-8.869,1,0.0649,0.647,0.0,0.281,0.558,113.401,audio_features,0Ie5uiv54KgCr7P4sYDTHl,spotify:track:0Ie5uiv54KgCr7P4sYDTHl,https://api.spotify.com/v1/tracks/0Ie5uiv54KgCr7P4sYDTHl,https://api.spotify.com/v1/audio-analysis/0Ie5uiv54KgCr7P4sYDTHl,166147,3
0.681,0.474,7,-8.623,0,0.0423,0.621,1.24e-06,0.137,0.7,71.957,audio_features,1GpPsjjd4D1jsteGYpGGIN,spotify:track:1GpPsjjd4D1jsteGYpGGIN,https://api.spotify.com/v1/tracks/1GpPsjjd4D1jsteGYpGGIN,https://api.spotify.com/v1/audio-analysis/1GpPsjjd4D1jsteGYpGGIN,142840,4
0.65,0.934,5,-4.209,1,0.0474,0.116,0.0,0.867,0.737,105.001,audio_features,5SyQ5OhqrkJGb35V7RBoL0,spotify:track:5SyQ5OhqrkJGb35V7RBoL0,https://api.spotify.com/v1/tracks/5SyQ5OhqrkJGb35V7RBoL0,https://api.spotify.com/v1/audio-analysis/5SyQ5OhqrkJGb35V7RBoL0,252200,4
0.423,0.301,7,-12.301,0,0.0391,0.918,0.00263,0.234,0.553,136.791,audio_features,6yaxdh87KVj82QIYKTP1zt,spotify:track:6yaxdh87KVj82QIYKTP1zt,https://api.spotify.com/v1/tracks/6yaxdh87KVj82QIYKTP1zt,https://api.spotify.com/v1/audio-analysis/6yaxdh87KVj82QIYKTP1zt,168107,3
0.341,0.761,8,-7.116,1,0.0507,0.39,0.000416,0.0892,0.348,126.312,audio_features,5DHfUmmnlFJPqa9MnKe0EX,spotify:track:5DHfUmmnlFJPqa9MnKe0EX,https://api.spotify.com/v1/tracks/5DHfUmmnlFJPqa9MnKe0EX,https://api.spotify.com/v1/audio-analysis/5DHfUmmnlFJPqa9MnKe0EX,166453,4
0.581,0.312,11,-12.938,1,0.0329,0.896,0.0,0.166,0.536,102.107,audio_features,5jjsm4Jjq8xjDaue3rW9Go,spotify:track:5jjsm4Jjq8xjDaue3rW9Go,https://api.spotify.com/v1/tracks/5jjsm4Jjq8xjDaue3rW9Go,https://api.spotify.com/v1/audio-analysis/5jjsm4Jjq8xjDaue3rW9Go,85227,4
0.573,0.475,7,-8.11,1,0.0258,0.072,0.0,0.358,0.324,107.759,audio_features,0QtJZpyfZF67QF32p41NXa,spotify:track:0QtJZpyfZF67QF32p41NXa,https://api.spotify.com/v1/tracks/0QtJZpyfZF67QF32p41NXa,https://api.spotify.com/v1/audio-analysis/0QtJZpyfZF67QF32p41NXa,259227,3
0.57,0.51,8,-8.148,1,0.057,0.763,0.0,0.285,0.841,76.919,audio_features,6MPpnJDLk37GEIM0iGGITd,spotify:track:6MPpnJDLk37GEIM0iGGITd,https://api.spotify.com/v1/tracks/6MPpnJDLk37GEIM0iGGITd,https://api.spotify.com/v1/audio-analysis/6MPpnJDLk37GEIM0iGGITd,133773,4
