danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.76,0.886,9,-5.356,0,0.0258,0.0219,7.43e-06,0.623,0.78,123.002,audio_features,5zlC5d5umTrbcX9sLVVxzh,spotify:track:5zlC5d5umTrbcX9sLVVxzh,https://api.spotify.com/v1/tracks/5zlC5d5umTrbcX9sLVVxzh,https://api.spotify.com/v1/audio-analysis/5zlC5d5umTrbcX9sLVVxzh,189399,4
0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97,audio_features,6HFbq7cewJ7rPiffV0ciil,spotify:track:6HFbq7cewJ7rPiffV0ciil,https://api.spotify.com/v1/tracks/6HFbq7cewJ7rPiffV0ciil,https://api.spotify.com/v1/audio-analysis/6HFbq7cewJ7rPiffV0ciil,267867,4
0.715,0.922,6,-3.888,0,0.0396,0.00248,1.78e-06,0.296,0.977,125.997,audio_features,2FvE1VYiztTWlj3ivgMAeY,spotify:track:2FvE1VYiztTWlj3ivgMAeY,https://api.spotify.com/v1/tracks/2FvE1VYiztTWlj3ivgMAeY,https://api.spotify.com/v1/audio-analysis/2FvE1VYiztTWlj3ivgMAeY,231587,4
0.628,0.758,1,-7.125,1,0.0382,0.0915,4.74e-05,0.135,0.576,89.988,audio_features,3HV2CIhE1eQR4sPzzvZ1Us,spotify:track:3HV2CIhE1eQR4sPzzvZ1Us,https://api.spotify.com/v1/tracks/3HV2CIhE1eQR4sPzzvZ1Us,https://api.spotify.com/v1/audio-analysis/3HV2CIhE1eQR4sPzzvZ1Us,204520,4
0.601,0.753,8,-5.862,1,0.212,0.274,0.0,0.104,0.591,179.913,audio_features,4R7WhRhVMCWqXDBSjiDyMU,spotify:track:4R7WhRhVMCWqXDBSjiDyMU,https://api.spotify.com/v1/tracks/4R7WhRhVMCWqXDBSjiDyMU,https://api.spotify.com/v1/audio-analysis/4R7WhRhVMCWqXDBSjiDyMU,193387,4
0.375,0.707,6,-7.675,0,0.0427,0.0182,0.0,0.0488,0.871,77.362,audio_features,3faoQSnfHQH0o7PaRObD0D,spotify:track:3faoQSnfHQH0o7PaRObD0D,https://api.spotify.com/v1/tracks/3faoQSnfHQH0o7PaRObD0D,https://api.spotify.com/v1/audio-analysis/3faoQSnfHQH0o7PaRObD0D,191120,4
0.661,0.906,6,-3.352,1,0.125,0.131,4.1e-05,0.0743,0.638,127.966,audio_features,4WRjqQ6sx5qIcddaIxNTfF,spotify:track:4WRjqQ6sx5qIcddaIxNTfF,https://api.spotify.com/v1/tracks/4WRjqQ6sx5qIcddaIxNTfF,https://api.spotify.com/v1/audio-analysis/4WRjqQ6sx5qIcddaIxNTfF,199805,4
0.886,0.578,11,-8.826,1,0.0381,0.418,0.000181,0.0761,0.69,114.015,audio_features,57ef886Y0RQDGLm2jvmYEq,spotify:track:57ef886Y0RQDGLm2jvmYEq,https://api.spotify.com/v1/tracks/57ef886Y0RQDGLm2jvmYEq,https://api.spotify.com/v1/audio-analysis/57ef886Y0RQDGLm2jvmYEq,313684,4
0.715,0.67,11,-5.123,1,0.0735,0.0948,3.9e-06,0.117,0.867,126.069,audio_features,0ktV2JoOsoTGURzKaZnjJL,spotify:track:0ktV2JoOsoTGURzKaZnjJL,https://api.spotify.com/v1/tracks/0ktV2JoOsoTGURzKaZnjJL,https://api.spotify.com/v1/audio-analysis/0ktV2JoOsoTGURzKaZnjJL,215042,4
0.436,0.562,11,-6.106,1,0.0278,0.0102,0.000278,0.198,0.24,150.066,audio_features,3SZLtkoHoECHHuOnNkNCuS,spotify:track:3SZLtkoHoECHHuOnNkNCuS,https://api.spotify.com/v1/tracks/3SZLtkoHoECHHuOnNkNCuS,https://api.spotify.com/v1/audio-analysis/3SZLtkoHoECHHuOnNkNCuS,234987,4
0.679,0.522,7,-5.603,0,0.0427,0.297,0.0,0.151,0.445,60.014,audio_features,4NpDZPwSXmL0cCTaJuVrCw,spotify:track:4NpDZPwSXmL0cCTaJuVrCw,https://api.spotify.com/v1/tracks/4NpDZPwSXmL0cCTaJuVrCw,https://api.spotify.com/v1/audio-analysis/4NpDZPwSXmL0cCTaJuVrCw,226507,4
0.609,0.885,0,-5.469,1,0.0642,0.00521,1.15e-05,0.336,0.76,124.959,audio_features,483XiZ5o13Cc1zoWV7jGml,spotify:track:483XiZ5o13Cc1zoWV7jGml,https://api.spotify.com/v1/tracks/483XiZ5o13Cc1zoWV7jGml,https://api.spotify.com/v1/audio-analysis/483XiZ5o13Cc1zoWV7jGml,165441,4
0.535,0.764,8,-4.522,0,0.162,0.0171,0.0,0.0567,0.683,83.217,audio_features,4aXzl5AfVFN6nhCLXhEx8S,spotify:track:4aXzl5AfVFN6nhCLXhEx8S,https://api.spotify.com/v1/tracks/4aXzl5AfVFN6nhCLXhEx8S,https://api.spotify.com/v1/audio-analysis/4aXzl5AfVFN6nhCLXhEx8S,200133,4
0.416,0.84,0,-4.298,1,0.0787,0.0139,0.0,0.113,0.523,177.942,audio_features,2X42KFgnOSaxOHMG0nDOdj,spotify:track:2X42KFgnOSaxOHMG0nDOdj,https://api.spotify.com/v1/tracks/2X42KFgnOSaxOHMG0nDOdj,https://api.spotify.com/v1/audio-analysis/2X42KFgnOSaxOHMG0nDOdj,242173,4
0.682,0.836,9,-3.777,1,0.0424,0.0464,3.13e-06,0.0797,0.486,104.984,audio_features,2FiceoWDJ67rrmb5tGBpgE,spotify:track:2FiceoWDJ67rrmb5tGBpgE,https://api.spotify.com/v1/tracks/2FiceoWDJ67rrmb5tGBpgE,https://api.spotify.com/v1/audio-analysis/2FiceoWDJ67rrmb5tGBpgE,216107,4
0.806,0.608,1,-7.008,1,0.0659,0.0113,0.0,0.635,0.849,95.049,audio_features,1huvTbEYtgltjQRXzrNKGi,spotify:track:1huvTbEYtgltjQRXzrNKGi,https://api.spotify.com/v1/tracks/1huvTbEYtgltjQRXzrNKGi,https://api.spotify.com/v1/audio-analysis/1huvTbEYtgltjQRXzrNKGi,219840,4
0.49,0.885,3,-4.121,1,0.0396,0.00218,0.0,0.0741,0.64,166.996,audio_features,37sINbJZcFdHFAsVNsPq1i,spotify:track:37sINbJZcFdHFAsVNsPq1i,https://api.spotify.com/v1/tracks/37sINbJZcFdHFAsVNsPq1i,https://api.spotify.com/v1/audio-analysis/37sINbJZcFdHFAsVNsPq1i,245467,4
0.396,0.152,2,-12.46,1,0.042,0.935,0.0,0.129,0.306,141.383,audio_features,7C6cA8girfd6ZvbkmZmx9V,spotify:track:7C6cA8girfd6ZvbkmZmx9V,https://api.spotify.com/v1/tracks/7C6cA8girfd6ZvbkmZmx9V,https://api.spotify.com/v1/audio-analysis/7C6cA8girfd6ZvbkmZmx9V,172453,3
0.665,0.389,1,-6.709,1,0.441,0.745,0.000982,0.326,0.521,89.962,audio_features,2NRRrr8ylDK38KD3Ffbw4K,spotify:track:2NRRrr8ylDK38KD3Ffbw4K,https://api.spotify.com/v1/tracks/2NRRrr8ylDK38KD3Ffbw4K,https://api.spotify.com/v1/audio-analysis/2NRRrr8ylDK38KD3Ffbw4K,210001,4
0.534,0.643,0,-6.847,0,0.0452,0.025,0.000171,0.398,0.313,192.003,audio_features,0PRAJw4IRVanGUHmeza5Yf,spotify:track:0PRAJw4IRVanGUHmeza5Yf,https://api.spotify.com/v1/tracks/0PRAJw4IRVanGUHmeza5Yf,https://api.spotify.com/v1/audio-analysis/0PRAJw4IRVanGUHmeza5Yf,209333,4
0.719,0.671,8,-6.279,1,0.0336,0.0372,8.21e-06,0.12,0.786,130.027,audio_features,13P5rwmk2EsoFRIz9UCeh9,spotify:track:13P5rwmk2EsoFRIz9UCeh9,https://api.spotify.com/v1/tracks/13P5rwmk2EsoFRIz9UCeh9,https://api.spotify.com/v1/audio-analysis/13P5rwmk2EsoFRIz9UCeh9,237627,4
0.683,0.481,8,-9.174,0,0.075,0.191,0.736,0.0907,0.47,120.001,audio_features,2oofHDiMVPyqT7y03ZeuTu,spotify:track:2oofHDiMVPyqT7y03ZeuTu,https://api.spotify.com/v1/tracks/2oofHDiMVPyqT7y03ZeuTu,https://api.spotify.com/v1/audio-analysis/2oofHDiMVPyqT7y03ZeuTu,160000,4
