,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
59,0.26,0.188,5,-13.117,1,0.0301,0.882,0.0,0.116,0.238,86.087,audio_features,2BLwLAc1swTc4TC7K3J506,spotify:track:4MrfQL4TYQXJBlZYpAHTuE,https://api.spotify.com/v1/tracks/2BLwLAc1swTc4TC7K3J506,https://api.spotify.com/v1/audio-analysis/2BLwLAc1swTc4TC7K3J506,141040,1
60,0.513,0.583,9,-10.863,1,0.038,0.355,1.96e-05,0.18,0.866,180.183,audio_features,27qAMKrDdKEs8HDXcvR24R,spotify:track:6tjituizSxwSmBB5vtgHZE,https://api.spotify.com/v1/tracks/27qAMKrDdKEs8HDXcvR24R,https://api.spotify.com/v1/audio-analysis/27qAMKrDdKEs8HDXcvR24R,241627,4
61,0.598,0.4,2,-9.812,1,0.0451,0.93,0.00797,0.14,0.715,78.82,audio_features,0575XwaVF0ivamp5mPuYCg,spotify:track:5pMZO580uekpfOoJcqF0ld,https://api.spotify.com/v1/tracks/0575XwaVF0ivamp5mPuYCg,https://api.spotify.com/v1/audio-analysis/0575XwaVF0ivamp5mPuYCg,114067,4
62,0.754,0.424,2,-8.463,1,0.0363,0.643,0.0,0.0652,0.806,119.705,audio_features,7vQbuQcyTflfCIOu3Uzzya,spotify:track:7taXf5odg9xCAZERYfyOkS,https://api.spotify.com/v1/tracks/7vQbuQcyTflfCIOu3Uzzya,https://api.spotify.com/v1/audio-analysis/7vQbuQcyTflfCIOu3Uzzya,130973,4
63,0.619,0.447,5,-9.342,1,0.0275,0.891,0.0718,0.254,0.732,105.308,audio_features,79R7rJGvh4cIdQJO4IL0J7,spotify:track:3SKKn2RJgtKoxX4t6S35VI,https://api.spotify.com/v1/tracks/79R7rJGvh4cIdQJO4IL0J7,https://api.spotify.com/v1/audio-analysis/79R7rJGvh4cIdQJO4IL0J7,192400,4
64,0.173,0.103,4,-16.317,1,0.0387,0.938,2.08e-06,0.167,0.255,169.956,audio_features,08D5bPhVLw01WdNchYxsqg,spotify:track:15sxLiiChE5dCW3Y756oas,https://api.spotify.com/v1/tracks/08D5bPhVLw01WdNchYxsqg,https://api.spotify.com/v1/audio-analysis/08D5bPhVLw01WdNchYxsqg,161293,5
65,0.411,0.34,7,-12.119,1,0.0417,0.717,3.19e-05,0.11,0.17,101.95,audio_features,08qlVghBZIdANs8Eg1yNbW,spotify:track:7ETbYa6S8HkDyTQXPzg6T6,https://api.spotify.com/v1/tracks/08qlVghBZIdANs8Eg1yNbW,https://api.spotify.com/v1/audio-analysis/08qlVghBZIdANs8Eg1yNbW,262067,3
66,0.699,0.31,7,-8.284,1,0.0373,0.952,0.0,0.16,0.639,137.206,audio_features,6hI0j7inZqfUQgRSykPdSZ,spotify:track:4hPKGh8WX6zsZ3FQTU2JvB,https://api.spotify.com/v1/tracks/6hI0j7inZqfUQgRSykPdSZ,https://api.spotify.com/v1/audio-analysis/6hI0j7inZqfUQgRSykPdSZ,183500,4
67,0.603,0.321,2,-11.489,1,0.0599,0.881,0.0,0.34,0.844,143.104,audio_features,7inXu0Eaeg02VsM8kHNvzM,spotify:track:4lq0QcqQc1x14lKoC6U9QQ,https://api.spotify.com/v1/tracks/7inXu0Eaeg02VsM8kHNvzM,https://api.spotify.com/v1/audio-analysis/7inXu0Eaeg02VsM8kHNvzM,155600,4
68,0.414,0.062,0,-24.57,0,0.0457,0.963,0.0592,0.117,0.126,112.356,audio_features,0chxAqlZXGnUd691QrIkIR,spotify:track:6dSFOAAnZoYBnGVykcGUpm,https://api.spotify.com/v1/tracks/0chxAqlZXGnUd691QrIkIR,https://api.spotify.com/v1/audio-analysis/0chxAqlZXGnUd691QrIkIR,203453,4
69,0.512,0.339,8,-13.119,1,0.0498,0.727,0.0,0.0977,0.951,174.609,audio_features,4HEOgBHRCExyYVeTyrXsnL,spotify:track:2L9QLAhrvtP4EYg1lY0Tnw,https://api.spotify.com/v1/tracks/4HEOgBHRCExyYVeTyrXsnL,https://api.spotify.com/v1/audio-analysis/4HEOgBHRCExyYVeTyrXsnL,120693,4
70,0.238,0.133,8,-14.289,1,0.0326,0.793,0.0,0.137,0.251,133.71,audio_features,6t0Fa4mTahx3sS3lYwAMwV,spotify:track:7azp0ySqPkkXHi9M9aeg3T,https://api.spotify.com/v1/tracks/6t0Fa4mTahx3sS3lYwAMwV,https://api.spotify.com/v1/audio-analysis/6t0Fa4mTahx3sS3lYwAMwV,143903,3
71,0.447,0.245,0,-14.733,1,0.0349,0.905,3.07e-05,0.122,0.458,129.415,audio_features,6JzICCKjjIzQ5M2YqzLhWF,spotify:track:1UjY24WZnvgMkOTgeUbBA4,https://api.spotify.com/v1/tracks/6JzICCKjjIzQ5M2YqzLhWF,https://api.spotify.com/v1/audio-analysis/6JzICCKjjIzQ5M2YqzLhWF,114227,4
72,0.691,0.704,7,-6.373,1,0.0634,0.698,0.0,0.693,0.865,119.059,audio_features,3SKKn2RJgtKoxX4t6S35VI,spotify:track:3PIDciSFdrQxSQSihim3hN,https://api.spotify.com/v1/tracks/3SKKn2RJgtKoxX4t6S35VI,https://api.spotify.com/v1/audio-analysis/3SKKn2RJgtKoxX4t6S35VI,142547,4
73,0.551,0.258,1,-12.966,1,0.0529,0.779,0.0,0.152,0.689,154.861,audio_features,6dSFOAAnZoYBnGVykcGUpm,spotify:track:71An5ejPuJd6vrROJ8KY3l,https://api.spotify.com/v1/tracks/6dSFOAAnZoYBnGVykcGUpm,https://api.spotify.com/v1/audio-analysis/6dSFOAAnZoYBnGVykcGUpm,180640,4
