,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
73,0.693,0.506,7,-8.402,1,0.0299,0.86,0.0,0.107,0.765,114.007,audio_features,3ARmaJqtqXmuSeZVzWLmhx,spotify:track:1PX4RwuBigsnAi62a4Lt59,https://api.spotify.com/v1/tracks/3ARmaJqtqXmuSeZVzWLmhx,https://api.spotify.com/v1/audio-analysis/3ARmaJqtqXmuSeZVzWLmhx,113520,4
74,0.571,0.282,0,-12.552,1,0.204,0.961,0.0,0.46,0.477,81.929,audio_features,1PX4RwuBigsnAi62a4Lt59,spotify:track:5f1dvfBJrPSesuePCvCE7l,https://api.spotify.com/v1/tracks/1PX4RwuBigsnAi62a4Lt59,https://api.spotify.com/v1/audio-analysis/1PX4RwuBigsnAi62a4Lt59,174440,5
75,0.67,0.327,2,-11.132,1,0.121,0.483,0.0,0.0649,0.808,69.007,audio_features,0rva3Hd7DRF9XleLjLXBmf,spotify:track:0wiP9TXLPEy0AxWd1stMm1,https://api.spotify.com/v1/tracks/0rva3Hd7DRF9XleLjLXBmf,https://api.spotify.com/v1/audio-analysis/0rva3Hd7DRF9XleLjLXBmf,27267,3
76,0.702,0.289,7,-12.312,1,0.0594,0.732,0.0,0.176,0.795,77.417,audio_features,1GGdC8LVimGU6Ug2Smn7u5,spotify:track:12qdZg8b6Z0ThII1J8r9vc,https://api.spotify.com/v1/tracks/1GGdC8LVimGU6Ug2Smn7u5,https://api.spotify.com/v1/audio-analysis/1GGdC8LVimGU6Ug2Smn7u5,84240,3
77,0.264,0.104,5,-15.17,1,0.0356,0.572,0.0612,0.0544,0.93,165.198,audio_features,69jiFsIE6uPMBeNDbKhnmj,spotify:track:4IDGtQ0DKAeshwYTeYsCkM,https://api.spotify.com/v1/tracks/69jiFsIE6uPMBeNDbKhnmj,https://api.spotify.com/v1/audio-analysis/69jiFsIE6uPMBeNDbKhnmj,24840,1
78,0.501,0.159,7,-10.285,1,0.0559,0.782,0.0,0.0902,0.672,100.075,audio_features,54jBfSVJ3GF7P31nh8Iphr,spotify:track:0rva3Hd7DRF9XleLjLXBmf,https://api.spotify.com/v1/tracks/54jBfSVJ3GF7P31nh8Iphr,https://api.spotify.com/v1/audio-analysis/54jBfSVJ3GF7P31nh8Iphr,120675,3
79,0.419,0.673,4,-6.567,0,0.309,0.475,0.0,0.409,0.367,92.511,audio_features,5CtegakZiIJwAagGGjW0tf,spotify:track:1KVKqAGnHQ0tE6Zx4U6psO,https://api.spotify.com/v1/tracks/5CtegakZiIJwAagGGjW0tf,https://api.spotify.com/v1/audio-analysis/5CtegakZiIJwAagGGjW0tf,167520,4
80,0.611,0.519,0,-8.617,1,0.108,0.747,0.0,0.37,0.906,114.999,audio_features,6JB4uUbg9ro29Q7xm4QUS8,spotify:track:0EhpSU6rk9nSat50gaeLQz,https://api.spotify.com/v1/tracks/6JB4uUbg9ro29Q7xm4QUS8,https://api.spotify.com/v1/audio-analysis/6JB4uUbg9ro29Q7xm4QUS8,75067,4
81,0.429,0.551,2,-9.031,1,0.0661,0.856,0.0,0.768,0.887,141.309,audio_features,1UljTZNjOmmVenXCaaPEwf,spotify:track:6q1uoQwESbQdhR9YMbKtDG,https://api.spotify.com/v1/tracks/1UljTZNjOmmVenXCaaPEwf,https://api.spotify.com/v1/audio-analysis/1UljTZNjOmmVenXCaaPEwf,113707,3
82,0.385,0.394,9,-9.241,1,0.0275,0.481,0.0,0.105,0.355,97.022,audio_features,1rudppuYTKpVCtWoocDiS1,spotify:track:1FLikRORNhoPOOeYshmvDd,https://api.spotify.com/v1/tracks/1rudppuYTKpVCtWoocDiS1,https://api.spotify.com/v1/audio-analysis/1rudppuYTKpVCtWoocDiS1,279240,4
